sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
170.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,5819.0,1183.0,1061.0,1021.0,June
171.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,141.0,24.0,32.0,28.0,June
172.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,169.0,22.0,23.0,34.0,June
173.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,2.0,0.0,1.0,0.0,June
174.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",722.0,148.0,137.0,101.0,June
175.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,2.0,1.0,0.0,0.0,June
176.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0.0,0.0,0.0,0.0,June
177.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4.0,2.0,0.0,0.0,June
178.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1.0,0.0,0.0,0.0,June
179.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,137.0,22.0,19.0,20.0,June
180.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,297.0,61.0,59.0,39.0,June
181.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,892.0,120.0,147.0,139.0,June
182.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,982.0,167.0,155.0,170.0,June
183.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,17.0,6.0,1.0,0.0,June
184.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,133.0,28.0,18.0,25.0,June
185.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,974.0,230.0,173.0,183.0,June
186.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,256.0,39.0,50.0,43.0,June
187.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,572.0,130.0,121.0,125.0,June
188.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0.0,0.0,0.0,0.0,June
189.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2.0,0.0,0.0,1.0,June
190.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1.0,0.0,0.0,0.0,June
191.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2.0,0.0,1.0,0.0,June
192.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,11.0,3.0,6.0,1.0,June
193.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,4.0,1.0,0.0,0.0,June
194.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0.0,0.0,0.0,0.0,June
195.0,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5.0,1.0,0.0,1.0,June
